product_id,product_name,unit_price,category
PROD-0131,Product DD-586,41.69,Services
PROD-0132,Product UJ-714,22.33,Consumables
PROD-0133,Product KM-491,5.36,Hardware
PROD-0134,Product SC-401,20.41,Hardware
PROD-0135,Product LR-361,49.99,Consumables
PROD-0136,Product VX-570,38.86,Electronics
PROD-0137,Product VA-283,152.69,Hardware
PROD-0138,Product SG-178,16.27,Consumables
PROD-0139,Product ZK-185,14.9,Hardware
PROD-0140,Product HQ-284,26.82,Software
PROD-0141,Product FG-164,41.3,Electronics
PROD-0142,Product MZ-450,18.1,Electronics
PROD-0143,Product VC-360,93.97,Electronics
PROD-0144,Product HH-267,66.83,Hardware
PROD-0145,Product VH-708,35.41,Services
PROD-0146,Product QX-897,26.63,Hardware
PROD-0147,Product ZN-593,20.24,Software
PROD-0148,Product UF-244,18.11,Services
PROD-0149,Product GT-367,88.56,Electronics
PROD-0150,Product VL-217,18.71,Consumables
PROD-0151,Product TD-688,29.29,Hardware
PROD-0152,Product JE-525,29.87,Hardware
PROD-0153,Product FP-814,7.96,Hardware
PROD-0154,Product BC-119,49.19,Services
PROD-0155,Product KF-735,45.88,Electronics
PROD-0156,Product GK-381,17.81,Software
PROD-0157,Product TW-565,42.96,Electronics
PROD-0158,Product BO-541,21.1,Services
PROD-0159,Product XA-537,67.22,Hardware
PROD-0160,Product IQ-282,46.91,Hardware
PROD-0161,Product OB-394,91.21,Consumables
PROD-0162,Product QV-118,5.1,Services
PROD-0163,Product VP-348,22.21,Services
PROD-0164,Product KW-447,125.76,Electronics
PROD-0165,Product PX-858,5.82,Electronics
PROD-0166,Product BA-487,45.92,Services
PROD-0167,Product QV-956,4.87,Software
PROD-0168,Product GR-205,11.2,Software
PROD-0169,Product DF-162,18.75,Hardware
PROD-0170,Product TP-741,32.43,Consumables
PROD-0171,Product RV-471,9.13,Hardware
PROD-0172,Product VK-295,29.0,Consumables
PROD-0173,Product VQ-504,46.27,Hardware
PROD-0174,Product IJ-311,50.72,Consumables
PROD-0175,Product IN-697,24.21,Hardware
PROD-0176,Product JI-351,55.58,Consumables
PROD-0177,Product TA-651,14.46,Hardware
PROD-0178,Product FA-234,222.04,Services
PROD-0179,Product CX-481,8.78,Consumables
PROD-0180,Product IC-876,9.96,Consumables
PROD-0181,Product FU-225,2.63,Consumables
PROD-0182,Product LK-112,26.76,Services
PROD-0183,Product TS-139,52.34,Services
PROD-0184,Product VR-339,554.11,Software
PROD-0185,Product RL-708,293.06,Hardware
PROD-0186,Product HN-244,31.74,Consumables
PROD-0187,Product KX-568,37.72,Hardware
PROD-0188,Product BN-890,15.25,Software
PROD-0189,Product ZH-468,7.84,Services
PROD-0190,Product JW-897,4.0,Electronics
PROD-0191,Product NS-329,58.45,Electronics
PROD-0192,Product YI-513,48.83,Services
PROD-0193,Product JG-103,9.82,Electronics
PROD-0194,Product CO-519,27.12,Software
PROD-0195,Product PM-217,33.3,Hardware
PROD-0196,Product GG-103,133.53,Software
PROD-0197,Product FA-988,21.11,Consumables
PROD-0198,Product YP-175,4.96,Electronics
PROD-0199,Product CB-785,48.25,Hardware
PROD-0200,Product XV-721,16.74,Electronics
