txn_id,date,amount,category,region,payment_method,status,description,vendor_id
TXN-034538,2024-05-17,44.68,Operations,US-East,credit_card,completed,license service,V0490
TXN-041775,2024-09-02,436.1,Legal,US-West,ach,pending,service travel,V0480
TXN-010397,2023-06-02,271.34,Payroll,EU-South,ach,completed,subscription equipment purchase meal,V0138
TXN-015872,2023-08-21,4374.2,Food & Bev,EU-North,ach,completed,service meal travel,V0375
TXN-049341,2024-12-22,2041.89,Technology,APAC,check,completed,meal equipment,V0193
TXN-004084,2023-03-01,452.22,Legal,EU-North,wire,completed,equipment equipment subscription purchase,V0208
TXN-008806,2023-05-10,1910.53,Operations,US-East,ach,completed,meal renewal,V0393
TXN-003750,2023-02-24,520.99,Training,US-West,ach,completed,service service,V0480
TXN-044026,2024-10-05,1126.62,Travel,US-West,ach,completed,meal equipment equipment equipment subscription license,V0437
TXN-022785,2023-11-28,1182.69,Training,LATAM,wire,pending,purchase renewal license subscription subscription,V0420
TXN-048131,2024-12-04,4075.82,Payroll,APAC,ach,completed,,V0237
TXN-029147,2024-02-29,116.02,Training,APAC,crypto,completed,renewal travel equipment renewal,V0225
TXN-003078,2023-02-14,74.3,Training,EU-North,wire,completed,meal meal equipment subscription service subscription,V0399
TXN-006823,2023-04-11,275.12,Legal,APAC,crypto,completed,travel equipment service equipment purchase,V0203
TXN-024964,2023-12-30,5579.74,Marketing,LATAM,check,completed,equipment meal purchase renewal service subscription,V0123
TXN-025309,2024-01-04,1392.36,Operations,LATAM,credit_card,completed,subscription purchase service travel renewal,V0349
TXN-003840,2023-02-26,221.32,Operations,EU-North,check,completed,subscription purchase purchase purchase,V0365
TXN-024308,2023-12-20,56.25,Technology,US-East,crypto,pending,travel travel subscription renewal,V0463
TXN-036067,2024-06-09,136.58,Food & Bev,US-West,credit_card,completed,license subscription,V0229
TXN-047147,2024-11-19,375.13,Food & Bev,EU-South,wire,pending,purchase renewal purchase purchase,V0123
TXN-029246,2024-03-02,117.39,Payroll,EU-North,check,completed,equipment equipment meal purchase service,V0062
TXN-029402,2024-03-04,287.18,Payroll,US-West,credit_card,pending,meal purchase purchase subscription,V0209
TXN-021828,2023-11-14,2377.09,Marketing,LATAM,ach,pending,subscription purchase,V0040
TXN-028772,2024-02-24,717.74,Legal,US-East,ach,completed,service purchase travel equipment travel license,V0230
TXN-007924,2023-04-27,-670.06,Operations,US-West,ach,completed,travel meal service travel travel,V0275
TXN-013310,2023-07-14,367.71,Payroll,US-West,credit_card,completed,license purchase renewal travel purchase purchase,V0030
TXN-018758,2023-10-01,68.23,Marketing,US-West,ach,completed,license renewal equipment,V0329
TXN-029528,2024-03-06,292.77,Technology,US-West,ach,completed,purchase license service subscription,V0199
TXN-006124,2023-04-01,103.51,Legal,LATAM,ach,pending,license travel equipment travel subscription renewal,V0374
TXN-002602,2023-02-08,249.33,Food & Bev,US-East,credit_card,completed,service travel travel license travel,V0145
TXN-022554,2023-11-25,94.42,Legal,US-West,crypto,completed,license purchase meal service,V0371
TXN-038740,2024-07-18,2173.65,Food & Bev,US-West,check,completed,travel travel,V0360
TXN-018038,2023-09-20,-368.58,Travel,EU-South,ach,completed,service meal,V0412
TXN-021471,2023-11-09,523.06,Food & Bev,EU-North,crypto,completed,purchase travel,V0209
TXN-028929,2024-02-26,35.9,Payroll,US-West,ach,completed,meal meal service license renewal,V0041
TXN-000987,2023-01-15,221.21,Travel,US-West,crypto,completed,service travel purchase renewal,V0068
TXN-004273,2023-03-03,495.13,Travel,EU-South,check,completed,service travel meal travel travel purchase,V0498
TXN-023830,2023-12-13,27.12,Technology,EU-South,credit_card,completed,renewal license renewal,V0155
TXN-042723,2024-09-16,763.83,Marketing,US-West,credit_card,completed,travel subscription purchase service service travel,V0164
TXN-011144,2023-06-13,1238.82,Technology,EU-South,wire,completed,equipment service service travel renewal purchase,V0400
TXN-032484,2024-04-18,145.3,Training,US-East,credit_card,completed,equipment purchase license purchase service meal,V0362
TXN-044227,2024-10-08,126.75,Technology,EU-North,crypto,completed,service service renewal meal meal service,V0079
TXN-023847,2023-12-14,2207.12,Legal,US-West,wire,completed,purchase subscription meal,V0252
TXN-020672,2023-10-29,222.98,Legal,US-East,credit_card,completed,travel meal license meal meal equipment,V0425
TXN-036238,2024-06-11,60.61,Food & Bev,US-East,credit_card,pending,license subscription purchase equipment,V0015
TXN-046271,2024-11-07,65.35,Food & Bev,LATAM,ach,completed,travel renewal renewal,V0329
TXN-024991,2023-12-30,80.22,Food & Bev,EU-South,crypto,completed,travel license,V0482
TXN-040919,2024-08-21,878.78,Technology,EU-North,check,completed,equipment equipment purchase service service,V0169
TXN-045156,2024-10-22,75.02,Technology,APAC,wire,completed,travel purchase,V0235
TXN-014253,2023-07-27,120.2,Legal,EU-North,crypto,pending,purchase meal,V0325
TXN-032125,2024-04-13,1192.46,Payroll,EU-North,credit_card,completed,travel meal license,V0222
TXN-021195,2023-11-05,728.91,Travel,APAC,ach,completed,service purchase subscription purchase purchase equipment,V0384
TXN-022209,2023-11-20,125.11,Training,EU-South,check,completed,equipment service license meal service service,V0057
TXN-020799,2023-10-30,3861.38,Legal,LATAM,crypto,completed,renewal meal travel,V0372
TXN-043952,2024-10-03,856.75,Technology,EU-North,credit_card,completed,service meal travel,V0452
TXN-006108,2023-04-01,390.99,Legal,US-West,crypto,completed,equipment travel subscription,V0381
TXN-021820,2023-11-14,99.67,Marketing,EU-North,wire,completed,travel license license travel license,V0110
TXN-021199,2023-11-05,391.23,Training,EU-South,check,completed,renewal renewal,V0090
TXN-038956,2024-07-22,1643.71,Travel,US-West,credit_card,completed,license meal,V0117
TXN-049594,2024-12-26,1758.29,Marketing,LATAM,wire,refunded,subscription travel service license,V0051
TXN-037599,2024-07-01,435.3,Travel,EU-North,credit_card,completed,renewal travel equipment travel,V0252
TXN-021740,2023-11-13,9347.85,Training,LATAM,crypto,completed,,V0316
TXN-008717,2023-05-09,2093.6,Technology,EU-South,wire,completed,license license meal,V0108
TXN-040772,2024-08-18,2693.88,Travel,APAC,credit_card,completed,equipment subscription service subscription,V0380
TXN-032478,2024-04-18,394.68,Technology,US-West,check,completed,renewal purchase subscription equipment travel travel,V0145
TXN-039202,2024-07-26,-363.71,Training,EU-South,crypto,completed,travel license renewal subscription subscription,V0386
TXN-031516,2024-04-04,191.79,Marketing,US-East,crypto,completed,equipment travel license renewal,V0025
TXN-005989,2023-03-30,423.65,Marketing,US-East,wire,completed,,V0372
TXN-037140,2024-06-24,936.83,Technology,APAC,ach,completed,meal license equipment license travel,V0480
TXN-002244,2023-02-03,843.73,Technology,US-West,crypto,completed,renewal travel,V0307
TXN-009893,2023-05-26,213.4,Food & Bev,US-East,crypto,completed,meal equipment,V0359
TXN-034971,2024-05-23,669.05,Marketing,EU-South,ach,completed,service subscription purchase,V0274
TXN-031034,2024-03-28,3469.67,Marketing,EU-North,crypto,completed,equipment purchase travel,V0192
TXN-042147,2024-09-07,12325.98,Technology,EU-South,crypto,completed,equipment equipment travel equipment,V0359
TXN-034763,2024-05-20,400.21,Payroll,US-West,crypto,completed,renewal renewal service meal subscription license,V0058
TXN-034923,2024-05-23,10465.03,Training,APAC,crypto,refunded,subscription travel,V0335
TXN-042647,2024-09-15,127.47,Marketing,APAC,crypto,completed,meal equipment,V0002
TXN-025830,2024-01-11,566.12,Operations,APAC,check,completed,meal service meal equipment,V0347
TXN-038294,2024-07-11,1885.42,Legal,EU-North,credit_card,completed,meal service meal purchase renewal,V0291
TXN-016834,2023-09-03,152.55,Training,US-West,credit_card,pending,equipment subscription license license equipment,V0483
TXN-035536,2024-06-01,686.74,Marketing,US-West,credit_card,completed,purchase license renewal,V0429
TXN-043101,2024-09-21,696.07,Payroll,EU-South,check,completed,license renewal meal,V0092
TXN-038748,2024-07-18,1474.52,Operations,EU-North,check,completed,subscription renewal purchase equipment license,V0435
TXN-043995,2024-10-04,145.67,Travel,EU-North,wire,pending,service license license meal equipment equipment,V0320
TXN-043605,2024-09-29,32.31,Food & Bev,LATAM,credit_card,completed,purchase license travel travel,V0125
TXN-020173,2023-10-22,257.26,Travel,APAC,credit_card,completed,purchase meal license purchase,V0306
TXN-012709,2023-07-05,1598.49,Operations,APAC,wire,completed,equipment subscription,V0472
TXN-025959,2024-01-13,253.83,Food & Bev,US-West,wire,completed,purchase license license equipment,V0075
TXN-001117,2023-01-17,1351.83,Travel,US-West,ach,completed,license subscription purchase service license purchase,V0239
TXN-005574,2023-03-23,440.77,Operations,LATAM,credit_card,completed,subscription subscription equipment,V0135
TXN-026986,2024-01-29,221.32,Food & Bev,US-West,crypto,completed,equipment purchase renewal equipment,V0024
TXN-030750,2024-03-24,181.9,Technology,LATAM,check,completed,meal meal renewal subscription subscription,V0042
TXN-008602,2023-05-07,180.72,Technology,US-West,wire,completed,equipment license license subscription travel subscription,V0067
TXN-035652,2024-06-02,119.61,Payroll,EU-North,credit_card,completed,travel subscription service license,V0419
TXN-040458,2024-08-14,11923.56,Payroll,APAC,check,completed,subscription renewal equipment renewal purchase meal,V0092
TXN-027123,2024-01-30,743.86,Technology,EU-South,crypto,pending,service renewal,V0116
TXN-043951,2024-10-03,2191.97,Operations,LATAM,ach,completed,service equipment license license,V0194
TXN-044544,2024-10-13,154.7,Payroll,EU-South,credit_card,completed,meal purchase purchase renewal subscription,V0118
TXN-046626,2024-11-12,698.46,Training,EU-South,credit_card,completed,,V0064
TXN-018150,2023-09-22,13.61,Payroll,APAC,crypto,refunded,equipment meal subscription,V0016
TXN-046318,2024-11-07,855.69,Legal,EU-South,wire,completed,renewal purchase travel,V0168
TXN-024757,2023-12-27,2946.77,Food & Bev,EU-South,check,refunded,purchase subscription subscription license service,V0415
TXN-015964,2023-08-22,4249.45,Training,US-West,crypto,completed,renewal service purchase equipment travel subscription,V0405
TXN-039710,2024-08-02,4426.62,Legal,US-West,check,pending,purchase service travel license travel equipment,V0239
TXN-030952,2024-03-27,179.04,Technology,US-East,wire,completed,service subscription travel renewal renewal,V0120
TXN-005203,2023-03-18,21036.97,Travel,LATAM,credit_card,completed,service license subscription,V0127
TXN-021408,2023-11-08,148.38,Operations,LATAM,ach,completed,renewal meal meal purchase,V0361
TXN-030676,2024-03-23,62.22,Food & Bev,EU-North,check,pending,purchase license service meal license equipment,V0212
TXN-012446,2023-07-02,99261.74,Payroll,EU-South,ach,completed,equipment subscription license service travel,V0489
TXN-003633,2023-02-23,628.12,Travel,US-East,crypto,completed,subscription renewal service,V0102
TXN-009523,2023-05-21,31.98,Food & Bev,US-West,ach,completed,license purchase renewal,V0284
TXN-022961,2023-12-01,1231.3,Operations,EU-South,wire,pending,renewal travel,V0472
TXN-021034,2023-11-03,845.45,Food & Bev,LATAM,check,refunded,equipment license subscription,V0307
TXN-021705,2023-11-12,261.69,Marketing,US-East,ach,completed,renewal purchase travel,V0148
TXN-025451,2024-01-05,746.29,Food & Bev,EU-South,check,completed,renewal license,V0265
TXN-003777,2023-02-25,1628.08,Technology,US-East,crypto,completed,subscription service license travel,V0020
TXN-034101,2024-05-11,77.24,Training,LATAM,ach,completed,travel equipment purchase subscription meal subscription,V0090
TXN-029823,2024-03-11,346.59,Food & Bev,APAC,ach,completed,purchase purchase purchase subscription,V0404
TXN-005659,2023-03-24,1442.86,Legal,EU-South,ach,completed,meal equipment,V0368
TXN-021651,2023-11-11,47.87,Payroll,US-West,crypto,completed,service renewal renewal,V0487
TXN-039012,2024-07-23,3138.77,Legal,EU-North,wire,completed,license meal,V0133
TXN-004641,2023-03-09,242.05,Marketing,LATAM,credit_card,completed,service service travel travel,V0370
TXN-037607,2024-07-01,1435.99,Training,US-East,crypto,completed,service travel service,V0048
TXN-040521,2024-08-15,247.42,Payroll,EU-South,ach,completed,subscription meal equipment license equipment,V0472
TXN-004716,2023-03-10,370.08,Operations,US-West,crypto,completed,subscription subscription,V0201
TXN-042640,2024-09-15,-205.67,Operations,EU-South,check,completed,renewal equipment subscription purchase renewal subscription,V0324
TXN-024411,2023-12-22,-4726.28,Food & Bev,EU-North,crypto,completed,service service meal equipment,V0295
TXN-031752,2024-04-07,915.94,Legal,US-West,wire,completed,meal license meal,V0228
TXN-037095,2024-06-24,50.07,Travel,EU-North,credit_card,completed,service license,V0023
TXN-041158,2024-08-24,1577.95,Marketing,EU-North,ach,completed,license service license travel,V0141
TXN-036210,2024-06-11,294.96,Marketing,US-East,crypto,completed,travel purchase subscription,V0405
TXN-029283,2024-03-02,118.64,Food & Bev,EU-North,check,completed,equipment purchase renewal meal meal service,V0325
TXN-021205,2023-11-05,622.96,Training,EU-South,ach,completed,meal renewal subscription,V0039
TXN-003665,2023-02-23,188.62,Payroll,EU-North,check,completed,travel license equipment service equipment service,V0111
TXN-041323,2024-08-26,101.48,Payroll,LATAM,credit_card,completed,service equipment,V0397
TXN-016583,2023-08-31,1309.57,Travel,EU-North,check,completed,service service renewal,V0278
TXN-016530,2023-08-30,31.77,Payroll,US-East,crypto,completed,license meal meal equipment equipment,V0267
TXN-009224,2023-05-16,900.43,Technology,US-West,crypto,completed,equipment purchase service service meal subscription,V0116
TXN-044178,2024-10-07,498.1,Technology,US-East,credit_card,completed,travel license subscription renewal purchase,V0227
TXN-002714,2023-02-09,402.26,Operations,LATAM,credit_card,completed,service subscription equipment subscription,V0014
TXN-001811,2023-01-27,300.24,Travel,EU-North,credit_card,completed,purchase service service subscription service,V0369
TXN-010587,2023-06-05,26.9,Legal,US-West,crypto,completed,subscription service travel,V0190
TXN-027049,2024-01-30,4372.63,Food & Bev,US-East,check,completed,,V0029
TXN-002063,2023-01-31,41.37,Training,LATAM,ach,completed,service purchase,V0269
TXN-037246,2024-06-26,610.97,Travel,LATAM,wire,completed,license subscription renewal,V0352
TXN-039310,2024-07-27,2039.87,Marketing,APAC,ach,completed,renewal travel travel,V0445
TXN-040514,2024-08-14,298.19,Travel,US-West,check,completed,purchase service travel license,V0072
TXN-028373,2024-02-18,2855.04,Operations,EU-North,check,completed,subscription meal renewal,V0325
TXN-047046,2024-11-18,491.08,Operations,US-West,credit_card,completed,license purchase license renewal equipment equipment,V0449
TXN-035318,2024-05-29,1520.75,Technology,US-West,check,completed,service renewal,V0400
TXN-034769,2024-05-21,1453.88,Travel,US-East,check,completed,equipment purchase,V0018
TXN-016548,2023-08-30,994.78,Food & Bev,US-East,ach,completed,purchase travel travel equipment equipment travel,V0344
TXN-040710,2024-08-17,1097.07,Travel,LATAM,check,completed,license travel license service,V0194
TXN-023242,2023-12-05,83.32,Technology,EU-South,credit_card,completed,equipment purchase renewal meal meal travel,V0381
TXN-023437,2023-12-07,13.54,Marketing,EU-North,credit_card,completed,travel subscription,V0206
TXN-028461,2024-02-19,600.27,Training,LATAM,wire,completed,,V0335
TXN-022552,2023-11-25,324.2,Travel,EU-North,ach,refunded,license travel service,V0106
TXN-012223,2023-06-28,-168.48,Food & Bev,US-West,check,completed,purchase equipment meal,V0411
TXN-012692,2023-07-05,865.07,Operations,US-East,ach,completed,travel renewal renewal meal renewal license,V0165
TXN-021336,2023-11-07,1183.94,Legal,EU-North,credit_card,completed,service travel,V0025
TXN-023588,2023-12-10,-14898.11,Legal,APAC,ach,completed,travel meal purchase meal renewal,V0081
TXN-031695,2024-04-06,4.79,Operations,APAC,ach,completed,renewal equipment meal,V0086
TXN-032324,2024-04-15,421.79,Operations,US-East,wire,completed,equipment renewal meal meal,V0293
TXN-039379,2024-07-28,470.16,Food & Bev,US-East,crypto,completed,subscription subscription subscription equipment,V0052
TXN-012503,2023-07-02,172.84,Food & Bev,APAC,check,completed,equipment subscription,V0373
TXN-035703,2024-06-03,154.65,Training,APAC,credit_card,completed,travel subscription purchase service service,V0160
TXN-038547,2024-07-15,700.54,Payroll,EU-North,credit_card,completed,meal equipment service license,V0169
TXN-041121,2024-08-23,305.56,Marketing,APAC,credit_card,completed,license travel,V0170
TXN-037472,2024-06-29,90.52,Marketing,APAC,credit_card,completed,renewal purchase purchase,V0407
TXN-001246,2023-01-19,53.23,Operations,APAC,wire,completed,license meal,V0359
TXN-034626,2024-05-18,132.91,Marketing,US-East,credit_card,completed,meal license equipment,V0402
TXN-034781,2024-05-21,1961.02,Legal,LATAM,ach,pending,,V0422
TXN-029633,2024-03-08,16.89,Marketing,US-East,ach,completed,renewal service license renewal,V0238
TXN-031969,2024-04-10,409.99,Technology,US-West,ach,completed,service equipment service,V0196
TXN-036196,2024-06-10,206.21,Payroll,US-West,credit_card,refunded,equipment equipment subscription equipment service license,V0266
TXN-004964,2023-03-14,1170.8,Payroll,LATAM,ach,completed,renewal subscription,V0143
TXN-012993,2023-07-09,429.8,Legal,LATAM,wire,completed,service travel license,V0098
TXN-031639,2024-04-05,246.94,Marketing,APAC,credit_card,completed,purchase meal travel purchase,V0160
TXN-045622,2024-10-29,320.36,Operations,EU-South,ach,completed,license travel purchase license equipment travel,V0260
TXN-002713,2023-02-09,817.47,Training,APAC,crypto,completed,license purchase,V0424
TXN-026197,2024-01-17,1293.78,Marketing,US-West,wire,completed,subscription purchase license purchase,V0500
TXN-047725,2024-11-28,353.48,Travel,APAC,credit_card,completed,subscription equipment,V0451
TXN-048562,2024-12-11,459.43,Training,EU-North,credit_card,completed,renewal license,V0478
TXN-013278,2023-07-13,214.8,Marketing,EU-South,credit_card,completed,purchase meal subscription,V0451
TXN-042664,2024-09-15,462.18,Marketing,EU-North,ach,completed,renewal meal subscription,V0432
TXN-027045,2024-01-30,120.4,Food & Bev,LATAM,crypto,completed,renewal travel meal license equipment,V0022
TXN-049665,2024-12-27,199.5,Training,EU-South,credit_card,completed,license license service service travel purchase,V0415
TXN-024946,2023-12-29,916.86,Operations,LATAM,check,completed,renewal renewal renewal purchase renewal renewal,V0144
TXN-041418,2024-08-27,157.86,Payroll,LATAM,ach,completed,travel travel service service license,V0206
TXN-019848,2023-10-17,214.75,Travel,EU-North,credit_card,completed,meal subscription purchase purchase travel,V0274
TXN-037077,2024-06-23,501.78,Marketing,US-West,crypto,completed,meal service,V0296
TXN-006150,2023-04-01,311.34,Travel,APAC,ach,completed,equipment equipment equipment,V0433
TXN-018489,2023-09-27,557.38,Food & Bev,LATAM,crypto,completed,meal subscription subscription,V0112
TXN-047038,2024-11-18,13382.33,Travel,US-East,check,completed,renewal subscription subscription equipment purchase renewal,V0394
